,angle,distance,energy
10,1.5707963267948966,1,[0.39232197]
11,1.5707963267948966,2,[0.36316506]
12,1.5707963267948966,3,[0.35806737]
13,1.5707963267948966,4,[0.35598423]
14,1.5707963267948966,5,[0.35429806]
15,4.71238898038469,1,[0.39232197]
16,4.71238898038469,2,[0.36316506]
17,4.71238898038469,3,[0.35806737]
18,4.71238898038469,4,[0.35598423]
19,4.71238898038469,5,[0.35429806]
0,0.0,1,[0.12202405]
1,0.0,2,[0.10452957]
2,0.0,3,[0.09901825]
3,0.0,4,[0.09442972]
4,0.0,5,[0.09183548]
5,0.7853981633974483,1,[0.11077123]
6,0.7853981633974483,2,[0.11077123]
7,0.7853981633974483,3,[0.10151178]
8,0.7853981633974483,4,[0.09606765]
9,0.7853981633974483,5,[0.09184674]
10,1.5707963267948966,1,[0.11791321]
11,1.5707963267948966,2,[0.10585115]
12,1.5707963267948966,3,[0.10111565]
13,1.5707963267948966,4,[0.09815561]
14,1.5707963267948966,5,[0.09598163]
15,4.71238898038469,1,[0.11791321]
16,4.71238898038469,2,[0.10585115]
17,4.71238898038469,3,[0.10111565]
18,4.71238898038469,4,[0.09815561]
19,4.71238898038469,5,[0.09598163]
0,0.0,1,[0.55874749]
1,0.0,2,[0.55246044]
2,0.0,3,[0.54844186]
3,0.0,4,[0.54469839]
4,0.0,5,[0.54062804]
5,0.7853981633974483,1,[0.56565261]
6,0.7853981633974483,2,[0.56565261]
7,0.7853981633974483,3,[0.54776076]
8,0.7853981633974483,4,[0.53694791]
9,0.7853981633974483,5,[0.52758465]
10,1.5707963267948966,1,[0.56172374]
11,1.5707963267948966,2,[0.55191936]
12,1.5707963267948966,3,[0.54742151]
13,1.5707963267948966,4,[0.54251092]
14,1.5707963267948966,5,[0.53793634]
15,4.71238898038469,1,[0.56172374]
16,4.71238898038469,2,[0.55191936]
17,4.71238898038469,3,[0.54742151]
18,4.71238898038469,4,[0.54251092]
19,4.71238898038469,5,[0.53793634]
0,0.0,1,[0.55417862]
1,0.0,2,[0.5503465]
2,0.0,3,[0.54917317]
3,0.0,4,[0.55133952]
4,0.0,5,[0.54960463]
5,0.7853981633974483,1,[0.57106607]
6,0.7853981633974483,2,[0.57106607]
7,0.7853981633974483,3,[0.55590616]
8,0.7853981633974483,4,[0.554069]
9,0.7853981633974483,5,[0.554025]
10,1.5707963267948966,1,[0.58746395]
11,1.5707963267948966,2,[0.55446496]
12,1.5707963267948966,3,[0.55163656]
13,1.5707963267948966,4,[0.55269028]
14,1.5707963267948966,5,[0.55142887]
15,4.71238898038469,1,[0.58746395]
16,4.71238898038469,2,[0.55446496]
17,4.71238898038469,3,[0.55163656]
18,4.71238898038469,4,[0.55269028]
19,4.71238898038469,5,[0.55142887]
0,0.0,1,[0.3272322]
1,0.0,2,[0.31299036]
2,0.0,3,[0.28368211]
3,0.0,4,[0.27708246]
4,0.0,5,[0.28615486]
5,0.7853981633974483,1,[0.30839243]
6,0.7853981633974483,2,[0.30839243]
7,0.7853981633974483,3,[0.2871393]
8,0.7853981633974483,4,[0.27121886]
9,0.7853981633974483,5,[0.24558603]
10,1.5707963267948966,1,[0.33737781]
11,1.5707963267948966,2,[0.3014045]
12,1.5707963267948966,3,[0.2848069]
13,1.5707963267948966,4,[0.28259708]
14,1.5707963267948966,5,[0.23980968]
15,4.71238898038469,1,[0.33737781]
16,4.71238898038469,2,[0.3014045]
17,4.71238898038469,3,[0.2848069]
18,4.71238898038469,4,[0.28259708]
19,4.71238898038469,5,[0.23980968]
0,0.0,1,[0.69637728]
1,0.0,2,[0.69224367]
2,0.0,3,[0.68948546]
3,0.0,4,[0.68655263]
4,0.0,5,[0.68354227]
5,0.7853981633974483,1,[0.69635569]
6,0.7853981633974483,2,[0.69635569]
7,0.7853981633974483,3,[0.68718412]
8,0.7853981633974483,4,[0.68061013]
9,0.7853981633974483,5,[0.67459295]
10,1.5707963267948966,1,[0.69631916]
11,1.5707963267948966,2,[0.69178875]
12,1.5707963267948966,3,[0.68874893]
13,1.5707963267948966,4,[0.68582802]
14,1.5707963267948966,5,[0.68300185]
15,4.71238898038469,1,[0.69631916]
16,4.71238898038469,2,[0.69178875]
17,4.71238898038469,3,[0.68874893]
18,4.71238898038469,4,[0.68582802]
19,4.71238898038469,5,[0.68300185]
0,0.0,1,[0.39470379]
1,0.0,2,[0.3867653]
2,0.0,3,[0.38365905]
3,0.0,4,[0.37887075]
4,0.0,5,[0.37579181]
5,0.7853981633974483,1,[0.40736495]
6,0.7853981633974483,2,[0.40736495]
7,0.7853981633974483,3,[0.37768084]
8,0.7853981633974483,4,[0.36868176]
9,0.7853981633974483,5,[0.36334828]
10,1.5707963267948966,1,[0.40810805]
11,1.5707963267948966,2,[0.3753946]
12,1.5707963267948966,3,[0.36882011]
13,1.5707963267948966,4,[0.36607919]
14,1.5707963267948966,5,[0.36380501]
15,4.71238898038469,1,[0.40810805]
16,4.71238898038469,2,[0.3753946]
17,4.71238898038469,3,[0.36882011]
18,4.71238898038469,4,[0.36607919]
19,4.71238898038469,5,[0.36380501]
0,0.0,1,[0.12005165]
1,0.0,2,[0.11444003]
2,0.0,3,[0.11271973]
3,0.0,4,[0.11448742]
4,0.0,5,[0.11335195]
5,0.7853981633974483,1,[0.11805989]
6,0.7853981633974483,2,[0.11805989]
7,0.7853981633974483,3,[0.11704681]
8,0.7853981633974483,4,[0.11830047]
9,0.7853981633974483,5,[0.12054043]
10,1.5707963267948966,1,[0.12308648]
11,1.5707963267948966,2,[0.11630983]
12,1.5707963267948966,3,[0.11538278]
13,1.5707963267948966,4,[0.11465481]
14,1.5707963267948966,5,[0.11405063]
15,4.71238898038469,1,[0.12308648]
16,4.71238898038469,2,[0.11630983]
17,4.71238898038469,3,[0.11538278]
18,4.71238898038469,4,[0.11465481]
19,4.71238898038469,5,[0.11405063]
0,0.0,1,[0.37844517]
